run,k_per_class,n_calibration,n_groups,n_trials,mean_delta_balanced_accuracy,median_delta_balanced_accuracy,delta_ci_low,delta_ci_high,prob_improves,prob_degrades,mean_selected_threshold
candidate n50,1,2,32,1600,-0.0544921875,-0.041666666666666685,-0.20833333333333337,0.10416666666666663,0.15875,0.69125,2.74625
candidate n50,2,4,32,1600,-0.03970108695652173,-0.02173913043478265,-0.1961956521739131,0.15217391304347827,0.185625,0.599375,3.01125
candidate n50,4,8,32,1600,-0.02215773809523809,0.0,-0.2142857142857143,0.19047619047619047,0.21125,0.4675,3.31625
candidate n50,8,16,32,1600,-0.013455882352941177,0.0,-0.17647058823529405,0.17647058823529416,0.21125,0.390625,3.54875
candidate n50,12,24,32,1600,-0.00918269230769231,0.0,-0.15384615384615385,0.1923076923076924,0.198125,0.330625,3.7575
semantic n30,1,2,12,600,0.12666666666666668,0.1428571428571428,-0.0357142857142857,0.2500000000000001,0.7883333333333333,0.095,2.2216666666666667
semantic n30,2,4,12,600,0.12333333333333334,0.11538461538461542,-0.03846153846153855,0.2692307692307693,0.8116666666666666,0.08833333333333333,2.245
semantic n30,4,8,12,600,0.12022727272727275,0.13636363636363635,-0.09090909090909088,0.27272727272727276,0.7783333333333333,0.12166666666666667,2.2716666666666665
semantic n30,8,16,12,600,0.12595238095238093,0.1428571428571428,-0.1428571428571428,0.3571428571428572,0.7416666666666667,0.11833333333333333,2.235
semantic n30,12,24,12,600,0.1358333333333333,0.16666666666666663,-0.16666666666666669,0.5,0.6116666666666667,0.11166666666666666,2.138333333333333
wmt reference n30,1,2,10,500,-0.06671428571428573,-0.0714285714285714,-0.1785714285714286,0.0,0.0,0.708,2.742
wmt reference n30,2,4,10,500,-0.05423076923076924,-0.038461538461538436,-0.1923076923076924,0.0,0.0,0.58,3.122
wmt reference n30,4,8,10,500,-0.047272727272727286,0.0,-0.22727272727272727,0.0,0.0,0.442,3.418
wmt reference n30,8,16,10,500,-0.04199999999999999,0.0,-0.2142857142857143,0.0,0.0,0.31,3.724
wmt reference n30,12,24,10,500,-0.041333333333333326,0.0,-0.33333333333333326,0.0,0.0,0.18,3.888
wmt ref-free n30,1,2,10,500,0.01250000000000001,0.0,-0.1428571428571428,0.25,0.244,0.484,3.114
wmt ref-free n30,2,4,10,500,0.036307692307692326,0.0,-0.09711538461538455,0.2692307692307694,0.34,0.414,3.598
wmt ref-free n30,4,8,10,500,0.055272727272727265,0.0,-0.09090909090909094,0.2727272727272727,0.434,0.308,3.97
wmt ref-free n30,8,16,10,500,0.06971428571428571,0.0,-0.1428571428571429,0.3571428571428572,0.472,0.208,4.202
wmt ref-free n30,12,24,10,500,0.0763333333333333,0.0,-0.25416666666666643,0.5,0.404,0.136,4.356
candidate audit n25,1,2,32,1600,-0.0659966856060606,-0.06439393939393934,-0.28787878787878785,0.09469696969696972,0.20875,0.6775,2.81
candidate audit n25,2,4,32,1600,-0.0466875,-0.031818181818181746,-0.2681818181818181,0.1045454545454545,0.265625,0.551875,3.14375
candidate audit n25,4,8,32,1600,-0.03244357638888888,0.0,-0.2569444444444444,0.13888888888888884,0.274375,0.47375,3.394375
candidate audit n25,8,16,32,1600,-0.024125000000000004,0.0,-0.3,0.20000000000000007,0.231875,0.35125,3.63125
wmt ref-free audit zh-en,1,2,2,100,-0.08357142857142857,-0.1071428571428571,-0.2142857142857143,0.0,0.0,0.66,3.04
wmt ref-free audit zh-en,2,4,2,100,-0.07384615384615387,-0.05769230769230771,-0.1923076923076924,0.0,0.0,0.65,3.38
wmt ref-free audit zh-en,4,8,2,100,-0.05500000000000002,-0.045454545454545414,-0.2272727272727273,0.0,0.0,0.52,3.86
wmt ref-free audit zh-en,8,16,2,100,-0.0557142857142857,0.0,-0.21428571428571436,0.0,0.0,0.44,4.05
wmt ref-free audit zh-en,12,24,2,100,-0.06,0.0,-0.33333333333333337,0.0,0.0,0.28,4.1
wmt ref-free audit en-de,1,2,2,100,-0.06607142857142854,-0.0714285714285714,-0.2142857142857143,0.1071428571428572,0.21,0.51,3.33
wmt ref-free audit en-de,2,4,2,100,-0.02692307692307694,0.0,-0.23076923076923084,0.11538461538461542,0.25,0.31,3.84
wmt ref-free audit en-de,4,8,2,100,0.026363636363636363,0.0,-0.09090909090909094,0.13636363636363635,0.39,0.12,4.46
wmt ref-free audit en-de,8,16,2,100,0.052857142857142846,0.0,-0.07142857142857151,0.21428571428571436,0.45,0.15,4.81
wmt ref-free audit en-de,12,24,2,100,0.07166666666666666,0.0,-0.1666666666666667,0.33333333333333337,0.37,0.1,4.87
